participant_id,kind,task,rep,phase,t0,channel,ptp_uv,flat_frac,clipping,label
P08,gerak,NGEED,2.0,PRA,20.75,T4,27.3,0.0,False,ok
P08,gerak,NGEED,2.0,PRA,20.75,T6,0.3,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,Fp1,126.2,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,21.75,F3,121.5,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,21.75,C3,55.7,0.15,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,P3,33.0,0.55,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,O1,160.8,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TURUN,21.75,F7,129.8,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,21.75,T3,133.3,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,21.75,T5,0.0,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,Fp2,56.4,0.0,False,ok
P08,gerak,NGEED,2.0,TURUN,21.75,F4,0.1,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,C4,0.0,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,P4,0.0,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,O2,0.0,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,21.75,F8,30.9,0.0,False,ok
P08,gerak,NGEED,2.0,TURUN,21.75,T4,43.1,0.0,False,ok
P08,gerak,NGEED,2.0,TURUN,21.75,T6,0.1,1.0,False,datar
P08,gerak,NGEED,2.0,TURUN,22.75,Fp1,117.1,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,22.75,F3,180.1,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TURUN,22.75,C3,135.0,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,22.75,P3,116.1,0.0,False,tinggi
P08,gerak,NGEED,2.0,TURUN,22.75,O1,233.5,0.0,False,ekstrem
P08,gerak,NGEED,2.0,TURUN,22.75,F7,200.4,0.0,False,ekstrem
