participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P08,gerak,AGEM KANAN,4.0,TURUN,326.91,330.0,3.09,11.35,17.61,16.44,14.37,12.26,18.19,11.78,16.54,24.23,25.62,20.66,22.03,23.52,20.89,21.57,22.34,-1.05,2.3,0.7,0.06,3.78,2.63,0.17,8.41,11.67,18.31,9.24,12.79,18.57,7.98,13.93,14.42
P08,gerak,AGEM KANAN,4.0,TAHAN,329.5,335.54,6.04,-2.6,8.97,7.22,6.29,4.71,5.52,5.38,2.53,10.13,10.12,6.03,7.31,8.17,15.39,9.63,11.36,-1.9,4.57,3.88,3.92,6.86,4.36,6.2,-2.53,5.53,15.86,7.17,9.26,13.04,4.99,10.13,7.65
P08,gerak,AGEM KANAN,4.0,NAIK,335.04,337.2,2.15,12.16,14.69,11.52,10.0,14.44,13.39,11.43,17.2,13.37,12.69,10.24,11.47,8.95,10.72,19.81,23.74,8.79,7.82,8.41,9.49,10.99,9.33,10.37,18.55,16.1,15.21,6.24,10.3,13.97,8.64,15.56,20.71
P08,gerak,AGEM KANAN,4.0,POST,337.7,339.2,1.5,-0.21,2.4,2.13,0.58,6.14,-2.25,1.13,2.61,12.91,5.27,13.01,11.35,7.39,8.97,17.29,4.26,-6.49,-12.02,-6.03,-10.32,-1.98,-6.08,-4.03,-0.87,-0.25,1.34,2.78,1.82,6.38,-1.21,4.96,3.2
P08,gerak,AGEM KIRI,3.0,PRA,340.87,342.87,2.0,-11.48,2.19,1.91,0.81,-9.17,0.42,-10.8,-2.92,0.89,4.51,-0.82,-0.99,1.46,-0.98,1.99,-1.41,-14.27,-5.93,-2.96,-3.29,-7.65,-4.94,-11.64,-4.74,-3.93,0.18,-1.26,-1.14,-0.65,-2.42,-3.07,-1.54
P08,gerak,AGEM KIRI,3.0,TURUN,342.87,345.71,2.84,11.37,17.28,16.75,16.45,13.64,19.92,12.84,21.91,14.75,21.95,17.86,16.37,15.67,15.98,17.86,21.91,-0.93,1.16,3.55,3.64,1.56,3.91,1.04,7.05,8.07,10.83,5.08,9.6,20.41,7.77,10.01,11.04
P08,gerak,AGEM KIRI,3.0,TAHAN,345.21,351.37,6.16,-1.05,5.14,1.38,1.86,4.4,3.97,1.08,-1.38,9.3,16.97,9.82,12.21,10.52,11.62,12.64,13.94,-1.03,-1.21,-2.44,-2.25,2.69,0.33,2.07,-4.82,4.23,8.6,2.77,4.84,7.76,3.31,6.53,5.42
P08,gerak,AGEM KIRI,3.0,NAIK,350.87,353.25,2.38,0.76,9.27,2.12,4.52,2.95,2.19,0.14,15.96,15.6,13.63,14.17,13.3,18.1,14.06,18.34,17.28,4.99,4.96,3.12,4.16,5.02,5.71,5.12,6.36,10.38,9.85,10.56,12.97,15.86,9.7,14.19,12.79
P08,gerak,AGEM KIRI,3.0,POST,353.75,355.25,1.5,-3.53,8.02,9.09,6.38,1.47,5.58,0.9,-0.87,5.52,13.33,14.49,6.95,15.0,7.67,7.93,5.35,3.04,6.71,8.41,8.38,5.27,6.8,5.29,3.8,5.64,3.29,9.14,4.17,11.49,3.38,1.54,3.08
P08,gerak,AGEM KIRI,4.0,PRA,356.77,358.77,2.0,2.99,10.16,8.96,7.84,4.79,8.21,5.43,0.34,2.33,7.51,5.44,2.16,0.26,-4.49,3.91,5.17,4.51,8.23,8.7,9.12,8.6,7.51,8.77,1.42,1.0,0.1,5.02,3.92,0.99,1.9,0.6,-0.47
