frame,t,raw,task,subphase
2068,69.011,"BERDIRI RILEKS
(1
Nee
",BERDIRI RILEKS,
2071,69.107,"BERDIRI RILEKS
(1
Nee
",BERDIRI RILEKS,
2072,69.135,"BERDIRI RILEKS
(1
Nee
",BERDIRI RILEKS,
2073,69.177,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2075,69.232,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2083,69.51,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2098,70.011,"AGEM KIRI
~
1
TURUN
",AGEM KIRI,TURUN
2113,70.51,"AGEM KIRI
2 \
TURUN
",AGEM KIRI,TURUN
2128,71.01,"AGEM KIRI
2
TURUN
",AGEM KIRI,TURUN
2131,71.107,"AGEM KIRI
2
TURUN
",AGEM KIRI,TURUN
2133,71.162,"AGEM KIRI
2
TURUN
",AGEM KIRI,TURUN
2134,71.204,"AGEM KIRI
3)
",AGEM KIRI,
2135,71.232,"AGEM KIRI
3)
",AGEM KIRI,
2143,71.51,"AGEM KIRI
3)
",AGEM KIRI,
2159,72.037,"AGEM KIRI
3)
",AGEM KIRI,
2162,72.134,"AGEM KIRI
3)
",AGEM KIRI,
2163,72.176,"AGEM KIRI
3)
",AGEM KIRI,
2164,72.204,"AGEM KIRI
+)
TAHAN
",AGEM KIRI,TAHAN
2166,72.273,"AGEM KIRI
+)
TAHAN
",AGEM KIRI,TAHAN
2173,72.509,"AGEM KIRI
>
TAHAN
",AGEM KIRI,TAHAN
2189,73.037,"AGEM KIRI
+)
TAHAN
",AGEM KIRI,TAHAN
2203,73.509,"AGEM KIRI
TAHAN )
",AGEM KIRI,TAHAN
2218,74.01,"AGEM KIRI
TAHAN )
",AGEM KIRI,TAHAN
2221,74.106,"AGEM KIRI
TAHAN )
",AGEM KIRI,TAHAN
2222,74.134,"AGEM KIRI
TAHAN )
",AGEM KIRI,TAHAN
2223,74.176,"AGEM KIRI
NAIK )
",AGEM KIRI,NAIK
2224,74.204,"AGEM KIRI
",AGEM KIRI,
2225,74.232,"AGEM KIRI
",AGEM KIRI,
2233,74.509,"AGEM KIRI
3
",AGEM KIRI,
2248,75.01,"AGEM KIRI
Y
",AGEM KIRI,
2251,75.106,"AGEM KIRI
Y
",AGEM KIRI,
2253,75.176,"AGEM KIRI
Y
",AGEM KIRI,
2254,75.203,"AGEM KIRI
2
NAIK
",AGEM KIRI,NAIK
2255,75.231,"AGEM KIRI
(Z)
NAIK
",AGEM KIRI,NAIK
2263,75.509,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2278,76.01,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2281,76.106,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2282,76.134,"AGEM KIRI
(2)
NAIK
",AGEM KIRI,NAIK
2283,76.176,"AGEM KIRI
(8)
",AGEM KIRI,
2285,76.231,"AGEM KIRI
(2)
",AGEM KIRI,
2293,76.509,"AGEM KIRI
",AGEM KIRI,
2308,77.01,"AGEM KIRI
",AGEM KIRI,
2311,77.106,"AGEM KIRI
",AGEM KIRI,
2312,77.134,"AGEM KIRI
",AGEM KIRI,
