participant_id,sumber,gerakan,rep,fase,mulai,selesai,cakupan,r_kiri,r_kanan,r_antar
P31,repo_video,Agem Kiri,4,Naik,364.369,368.466,1.0,0.236,0.724,-0.189
P31,repo_video,-,0,Istirahat,103.553,275.116,1.0,0.826,0.565,0.056
P32,timestamp_manual,Ngeed,1,Gerak,5.634,10.461,1.0,0.266,0.608,-0.033
P32,timestamp_manual,Ngeed,1,Tahan,9.961,11.315,1.0,0.321,0.562,-0.097
P32,timestamp_manual,Ngeed,1,Naik,10.815,13.585,1.0,0.134,0.408,-0.018
P32,timestamp_manual,Ngeed,1,Berdiri,13.085,21.585,1.0,,0.518,-0.185
P32,timestamp_manual,Ngeed,2,Gerak,21.575,23.725,1.0,0.071,0.382,-0.016
P32,timestamp_manual,Ngeed,2,Tahan,23.225,26.905,1.0,0.163,,0.077
P32,timestamp_manual,Ngeed,2,Naik,26.405,29.74,1.0,0.363,,-0.193
P32,timestamp_manual,Ngeed,2,Berdiri,29.24,37.74,1.0,0.364,0.645,-0.144
P32,timestamp_manual,Agem Kanan,1,Gerak,37.69,41.998,1.0,0.761,0.349,0.082
P32,timestamp_manual,Agem Kanan,1,Tahan,41.498,45.323,1.0,0.562,0.589,0.223
P32,timestamp_manual,Agem Kanan,1,Naik,44.823,47.39,1.0,0.349,0.763,-0.178
P32,timestamp_manual,Agem Kanan,1,Berdiri,46.89,54.11,1.0,-0.244,0.538,0.053
P32,timestamp_manual,Agem Kanan,2,Gerak,53.61,55.708,1.0,0.547,0.654,-0.115
P32,timestamp_manual,Agem Kanan,2,Tahan,55.208,59.407,1.0,0.504,0.752,-0.005
P32,timestamp_manual,Agem Kanan,2,Naik,58.907,62.218,1.0,0.477,0.636,-0.113
P32,timestamp_manual,Agem Kanan,2,Berdiri,61.718,70.055,1.0,0.519,0.386,-0.038
P32,timestamp_manual,Agem Kiri,1,Gerak,69.555,72.771,1.0,0.543,0.608,-0.024
P32,timestamp_manual,Agem Kiri,1,Tahan,72.271,75.187,1.0,0.537,0.575,0.185
P32,timestamp_manual,Agem Kiri,1,Naik,74.687,78.38,1.0,0.583,0.658,-0.119
P32,timestamp_manual,Agem Kiri,1,Berdiri,77.88,86.125,1.0,0.379,0.426,-0.005
P32,timestamp_manual,Agem Kiri,2,Gerak,85.625,87.682,1.0,0.603,0.513,-0.013
P32,timestamp_manual,Agem Kiri,2,Tahan,87.182,92.107,1.0,0.515,0.498,-0.002
P32,timestamp_manual,Agem Kiri,2,Naik,91.607,93.954,1.0,0.558,0.668,-0.415
P32,timestamp_manual,Agem Kiri,2,Berdiri,93.454,101.954,1.0,0.638,0.185,-0.118
P32,timestamp_manual,Ngeed,3,Gerak,278.783,282.705,1.0,0.571,0.428,-0.074
P32,timestamp_manual,Ngeed,3,Tahan,282.205,284.133,1.0,0.401,0.624,-0.049
P32,timestamp_manual,Ngeed,3,Naik,283.633,285.67,1.0,0.144,0.741,-0.032
P32,timestamp_manual,Ngeed,3,Berdiri,285.17,293.67,1.0,0.32,0.656,-0.166
P32,timestamp_manual,Ngeed,4,Gerak,295.601,297.887,1.0,0.573,0.703,0.031
P32,timestamp_manual,Ngeed,4,Tahan,297.387,300.444,1.0,0.208,0.843,-0.072
P32,timestamp_manual,Ngeed,4,Naik,299.944,302.334,1.0,0.255,0.775,0.069
P32,timestamp_manual,Ngeed,4,Berdiri,301.834,310.334,1.0,0.444,0.727,-0.064
P32,timestamp_manual,Agem Kanan,3,Gerak,310.741,313.153,1.0,0.475,0.529,-0.134
P32,timestamp_manual,Agem Kanan,3,Tahan,312.653,316.001,1.0,0.56,0.423,-0.061
P32,timestamp_manual,Agem Kanan,3,Naik,315.501,319.387,1.0,0.507,0.815,-0.106
P32,timestamp_manual,Agem Kanan,3,Berdiri,318.887,327.307,1.0,0.237,0.791,0.007
P32,timestamp_manual,Agem Kanan,4,Gerak,326.807,328.9,1.0,0.351,0.549,0.047
P32,timestamp_manual,Agem Kanan,4,Tahan,328.4,332.309,1.0,0.448,0.57,0.03
P32,timestamp_manual,Agem Kanan,4,Naik,331.809,334.886,1.0,0.615,0.645,0.005
P32,timestamp_manual,Agem Kanan,4,Berdiri,334.386,342.886,1.0,0.526,0.606,-0.067
P32,timestamp_manual,Agem Kiri,3,Gerak,342.455,344.87,1.0,0.447,0.527,-0.017
P32,timestamp_manual,Agem Kiri,3,Tahan,344.37,348.32,1.0,0.375,0.745,-0.017
P32,timestamp_manual,Agem Kiri,3,Naik,347.82,351.173,1.0,0.084,0.748,0.108
P32,timestamp_manual,Agem Kiri,3,Berdiri,350.673,358.85,1.0,0.218,0.662,-0.099
P32,timestamp_manual,Agem Kiri,4,Gerak,358.35,360.997,1.0,0.345,0.717,0.076
P32,timestamp_manual,Agem Kiri,4,Tahan,360.497,364.664,1.0,0.153,0.783,0.003
P32,timestamp_manual,Agem Kiri,4,Naik,364.164,366.97,1.0,0.459,0.714,-0.118
P32,timestamp_manual,Agem Kiri,4,Berdiri,366.47,374.97,1.0,0.534,0.584,-0.088
