participant_id,task,subphase,n,start,end,rep
P05,BERDIRI FOKUS MATA TERBUKA,,64,366.432,396.514,
P05,BERDIRI ISTIRAHAT,,33,396.514,411.581,
P05,BERDIRI MATA TERTUTUP,,62,411.581,441.5,
P06,BERSIAP,,10,1.41,4.652,
P06,NGEED,TURUN,14,4.652,8.124,1.0
P06,NGEED,TAHAN,8,8.124,10.117,1.0
P06,NGEED,NAIK,18,10.117,13.124,1.0
P06,BERDIRI RILEKS,,21,13.124,21.157,
P06,NGEED,TURUN,14,21.157,24.156,2.0
P06,NGEED,TAHAN,7,24.156,26.121,2.0
P06,NGEED,NAIK,20,26.121,29.156,2.0
P06,BERDIRI RILEKS,,20,29.156,37.155,
P06,AGEM KANAN,TURUN,14,37.155,40.154,1.0
P06,AGEM KANAN,TAHAN,8,40.154,42.154,1.0
P06,AGEM KANAN,NAIK,19,42.154,45.174,1.0
P06,BERDIRI RILEKS,,20,45.174,53.152,
P06,AGEM KANAN,TURUN,14,53.152,56.186,2.0
P06,AGEM KANAN,TAHAN,7,56.186,58.151,2.0
P06,AGEM KANAN,NAIK,20,58.151,61.186,2.0
P06,BERDIRI RILEKS,,20,61.186,69.184,
P06,AGEM KIRI,TURUN,15,69.184,72.218,1.0
P06,AGEM KIRI,TAHAN,7,72.218,74.19,1.0
P06,AGEM KIRI,NAIK,18,74.19,77.19,1.0
P06,BERDIRI RILEKS,,21,77.19,85.216,
P06,AGEM KIRI,TURUN,14,85.216,88.216,2.0
P06,AGEM KIRI,TAHAN,8,88.216,90.223,2.0
P06,AGEM KIRI,NAIK,21,90.223,93.285,2.0
P06,ISTIRAHAT UTAMA,,364,93.285,273.23,
P06,BERSIAP,,14,273.23,278.25,
P06,NGEED,TURUN,16,278.25,281.25,3.0
P06,NGEED,TAHAN,14,281.25,284.249,3.0
P06,NGEED,NAIK,11,284.249,286.221,3.0
P06,BERDIRI RILEKS,,20,286.221,294.22,
P06,NGEED,TURUN,15,294.22,297.254,4.0
P06,NGEED,TAHAN,8,297.254,299.254,4.0
P06,NGEED,NAIK,19,299.254,302.288,4.0
P06,BERDIRI RILEKS,,20,302.288,310.287,
P06,AGEM KANAN,TURUN,14,310.287,313.286,3.0
P06,AGEM KANAN,TAHAN,14,313.286,316.286,3.0
P06,AGEM KANAN,NAIK,13,316.286,318.285,3.0
P06,BERDIRI RILEKS,,20,318.285,326.319,
P06,AGEM KANAN,TURUN,14,326.319,329.284,4.0
P06,AGEM KANAN,TAHAN,8,329.284,331.318,4.0
P06,AGEM KANAN,NAIK,18,331.318,334.304,4.0
P06,BERDIRI RILEKS,,20,334.304,342.316,
P06,AGEM KIRI,TURUN,14,342.316,345.316,3.0
P06,AGEM KIRI,TAHAN,8,345.316,347.316,3.0
P06,AGEM KIRI,NAIK,18,347.316,350.316,3.0
P06,BERDIRI RILEKS,,21,350.316,358.349,
P06,AGEM KIRI,TURUN,14,358.349,361.348,4.0
P06,AGEM KIRI,TAHAN,14,361.348,364.348,4.0
P06,AGEM KIRI,NAIK,12,364.348,366.428,4.0
P06,BERDIRI FOKUS MATA TERBUKA,,64,366.428,396.488,
P06,BERDIRI ISTIRAHAT,,32,396.488,411.556,
P06,BERDIRI MATA TERTUTUP,,63,411.556,441.517,
P07,BERSIAP,,6,0.237,0.944,
P07,BERSIAP,,9,2.305,4.694,
P07,NGEED,TURUN,14,4.694,8.152,1.0
P07,NGEED,TAHAN,8,8.152,10.158,1.0
P07,NGEED,NAIK,19,10.158,13.158,1.0
P07,BERDIRI RILEKS,,20,13.158,21.184,
P07,NGEED,TURUN,14,21.184,24.191,2.0
P07,NGEED,TAHAN,8,24.191,26.156,2.0
P07,NGEED,NAIK,19,26.156,29.19,2.0
P07,BERDIRI RILEKS,,20,29.19,37.189,
P07,AGEM KANAN,TURUN,14,37.189,40.189,1.0
P07,AGEM KANAN,TAHAN,8,40.189,42.188,1.0
P07,AGEM KANAN,NAIK,21,42.188,45.188,1.0
P07,BERDIRI RILEKS,,20,45.188,53.194,
P07,AGEM KANAN,TURUN,14,53.194,56.221,2.0
P07,AGEM KANAN,TAHAN,8,56.221,58.186,2.0
P07,AGEM KANAN,NAIK,20,58.186,61.22,2.0
P07,BERDIRI RILEKS,,20,61.22,69.219,
P07,AGEM KIRI,TURUN,12,69.219,72.253,1.0
P07,AGEM KIRI,TAHAN,10,72.253,74.218,1.0
P07,AGEM KIRI,NAIK,21,74.218,77.218,1.0
P07,BERDIRI RILEKS,,18,77.218,85.258,
P07,AGEM KIRI,TURUN,14,85.258,88.258,2.0
P07,AGEM KIRI,TAHAN,8,88.258,90.257,2.0
P07,AGEM KIRI,NAIK,18,90.257,93.257,2.0
P07,ISTIRAHAT UTAMA,,364,93.257,273.264,
P07,BERSIAP,,13,273.264,278.256,
P07,NGEED,TURUN,15,278.256,281.284,3.0
P07,NGEED,TAHAN,13,281.284,284.263,3.0
P07,NGEED,NAIK,12,284.263,286.255,3.0
P07,BERDIRI RILEKS,,20,286.255,294.254,
P07,NGEED,TURUN,15,294.254,297.281,4.0
P07,NGEED,TAHAN,8,297.281,299.281,4.0
P07,NGEED,NAIK,19,299.281,302.322,4.0
P07,BERDIRI RILEKS,,20,302.322,310.321,
P07,AGEM KANAN,TURUN,14,310.321,313.32,3.0
P07,AGEM KANAN,TAHAN,14,313.32,316.32,3.0
P07,AGEM KANAN,NAIK,12,316.32,318.32,3.0
P07,BERDIRI RILEKS,,20,318.32,326.353,
P07,AGEM KANAN,TURUN,14,326.353,329.318,4.0
P07,AGEM KANAN,TAHAN,8,329.318,331.352,4.0
P07,AGEM KANAN,NAIK,18,331.352,334.317,4.0
P07,BERDIRI RILEKS,,20,334.317,342.351,
P07,AGEM KIRI,TURUN,14,342.351,345.35,3.0
P07,AGEM KIRI,TAHAN,8,345.35,347.35,3.0
P07,AGEM KIRI,NAIK,18,347.35,350.35,3.0
P07,BERDIRI RILEKS,,20,350.35,358.383,
P07,AGEM KIRI,TURUN,14,358.383,361.383,4.0
P07,AGEM KIRI,TAHAN,14,361.383,364.383,4.0
P07,AGEM KIRI,NAIK,13,364.383,366.48,4.0
P07,BERDIRI FOKUS MATA TERBUKA,,62,366.48,396.551,
P07,BERDIRI ISTIRAHAT,,34,396.551,411.626,
P07,BERDIRI MATA TERTUTUP,,63,411.626,441.509,
P10,BERSIAP,,15,1.072,5.12,
P10,NGEED,TURUN,14,5.12,8.12,1.0
P10,NGEED,TAHAN,8,8.12,10.12,1.0
P10,NGEED,NAIK,18,10.12,13.12,1.0
P10,BERDIRI RILEKS,,21,13.12,21.153,
P10,NGEED,TURUN,13,21.153,24.152,2.0
P10,NGEED,TAHAN,9,24.152,26.118,2.0
P10,NGEED,NAIK,19,26.118,29.172,2.0
P10,BERDIRI RILEKS,,19,29.172,37.157,
P10,AGEM KANAN,TURUN,14,37.157,40.15,1.0
P10,AGEM KANAN,TAHAN,8,40.15,42.15,1.0
P10,AGEM KANAN,NAIK,20,42.15,45.156,1.0
P10,BERDIRI RILEKS,,20,45.156,53.155,
P10,AGEM KANAN,TURUN,14,53.155,56.189,2.0
P10,AGEM KANAN,TAHAN,8,56.189,58.154,2.0
P10,AGEM KANAN,NAIK,19,58.154,61.188,2.0
P10,BERDIRI RILEKS,,20,61.188,69.187,
P10,AGEM KIRI,TURUN,15,69.187,72.221,1.0
P10,AGEM KIRI,TAHAN,7,72.221,74.186,1.0
P10,AGEM KIRI,NAIK,18,74.186,77.193,1.0
P10,BERDIRI RILEKS,,21,77.193,85.22,
P10,AGEM KIRI,TURUN,14,85.22,88.22,2.0
P10,AGEM KIRI,TAHAN,8,88.22,90.218,2.0
P10,AGEM KIRI,NAIK,21,90.218,93.226,2.0
P10,ISTIRAHAT UTAMA,,363,93.226,273.205,
P10,BERSIAP,,10,276.065,278.253,
P10,NGEED,TURUN,14,278.253,281.252,3.0
P10,NGEED,TAHAN,14,281.252,284.252,3.0
P10,NGEED,NAIK,11,284.252,286.286,3.0
P10,BERDIRI RILEKS,,20,286.286,294.216,
P10,NGEED,TURUN,13,294.216,297.25,4.0
P10,NGEED,TAHAN,8,297.25,299.25,4.0
P10,NGEED,NAIK,19,299.25,302.332,4.0
P10,BERDIRI RILEKS,,20,302.332,310.282,
P10,AGEM KANAN,TURUN,14,310.282,313.282,3.0
P10,AGEM KANAN,TAHAN,14,313.282,316.281,3.0
P10,AGEM KANAN,NAIK,12,316.281,318.281,3.0
P10,BERDIRI RILEKS,,20,318.281,326.315,
P10,AGEM KANAN,TURUN,14,326.315,329.287,4.0
P10,AGEM KANAN,TAHAN,8,329.287,331.314,4.0
P10,AGEM KANAN,NAIK,18,331.314,334.286,4.0
P10,BERDIRI RILEKS,,20,334.286,342.319,
P10,AGEM KIRI,TURUN,14,342.319,345.319,3.0
P10,AGEM KIRI,TAHAN,8,345.319,347.318,3.0
P10,AGEM KIRI,NAIK,19,347.318,350.339,3.0
P10,BERDIRI RILEKS,,20,350.339,358.352,
P10,AGEM KIRI,TURUN,14,358.352,361.352,4.0
P10,AGEM KIRI,TAHAN,15,361.352,364.35,4.0
P10,AGEM KIRI,NAIK,12,364.35,366.452,4.0
P10,BERDIRI FOKUS MATA TERBUKA,,62,366.452,396.554,
P10,BERDIRI ISTIRAHAT,,34,396.554,411.622,
P10,BERDIRI MATA TERTUTUP,,63,411.622,441.541,
P33,BERSIAP,,14,0.116,5.116,
P33,NGEED,TURUN,14,5.116,8.123,1.0
P33,NGEED,TAHAN,9,8.123,10.116,1.0
P33,NGEED,NAIK,19,10.116,13.122,1.0
P33,BERDIRI RILEKS,,20,13.122,21.129,
P33,NGEED,TURUN,15,21.129,24.154,2.0
P33,NGEED,TAHAN,7,24.154,26.12,2.0
P33,NGEED,NAIK,20,26.12,29.154,2.0
P33,BERDIRI RILEKS,,20,29.154,37.152,
P33,AGEM KANAN,TURUN,14,37.152,40.152,1.0
P33,AGEM KANAN,TAHAN,7,40.152,42.152,1.0
P33,AGEM KANAN,NAIK,19,42.152,45.151,1.0
P33,BERDIRI RILEKS,,20,45.151,53.15,
P33,AGEM KANAN,TURUN,15,53.15,56.184,2.0
P33,AGEM KANAN,TAHAN,7,56.184,58.15,2.0
P33,AGEM KANAN,NAIK,20,58.15,61.184,2.0
P33,BERDIRI RILEKS,,20,61.184,69.182,
P33,AGEM KIRI,TURUN,15,69.182,72.217,1.0
P33,AGEM KIRI,TAHAN,7,72.217,74.189,1.0
P33,AGEM KIRI,NAIK,18,74.189,77.188,1.0
P33,BERDIRI RILEKS,,21,77.188,85.215,
P33,AGEM KIRI,TURUN,14,85.215,88.215,2.0
P33,AGEM KIRI,TAHAN,8,88.215,90.222,2.0
P33,AGEM KIRI,NAIK,21,90.222,93.22,2.0
