jenis,fase,area,ukuran,n_penari,n_nonpenari,mean_penari,mean_nonpenari,hedges_g,p,artefak_rawan,p_fdr
EEG,POST,frontopolar,mu_periodic_db,23,15,1.241185336884116,0.8623418500774221,0.2389646434809204,0.4638150672308248,True,0.7791133524218607
EEG,POST,frontotemporal,mu_periodic_db,23,15,0.683923197275614,1.0837331954768614,-0.2542166871003532,0.4677510172685017,True,0.7791133524218607
EEG,PRA,sentral,mu_periodic_db,23,15,0.36033178965957036,0.6868081571399934,-0.23190533919720005,0.4682171589073682,False,0.7791133524218607
EEG,NAIK,sentral,offset_change,23,15,7.119455548025201,5.680814704721632,0.22405493109751376,0.47536941733153,False,0.7813134069114787
EEG,PRA,parietal,mu_periodic_db,23,15,0.7235237612646862,1.0445062851364249,-0.23159478345947412,0.4770519359507586,False,0.7813134069114787
EEG,PRA,oksipital,offset_change,23,15,8.436914712785368,9.966321718285915,-0.22834006567703616,0.48512416464549163,False,0.7883267675489238
EEG,TAHAN,frontotemporal,exponent_change,23,15,0.12739854261953015,0.18830055362207931,-0.2171483678539122,0.4942416958783388,True,0.7941373624885599
EEG,PRA,frontal,mu_periodic_db,23,15,0.7664316132616651,1.071117133564362,-0.21928035863360906,0.49633585155535,False,0.7941373624885599
EEG,POST,temporal,theta_periodic_db,23,15,1.0836624606890686,1.3966019787568398,-0.2115636417320962,0.5100305931983472,True,0.8098195678263834
EEG,TURUN,temporo-posterior,exponent_change,23,15,0.23322985248775838,0.3124984698552248,-0.20536431575082187,0.5211112016295351,False,0.8171075056970755
EEG,TURUN,frontopolar,offset_change,23,15,10.071120354618097,11.586762339309756,-0.20783155681685384,0.5224773954697646,True,0.8171075056970755
EEG,POST,oksipital,offset_change,23,15,10.636785334262216,11.8586211969404,-0.19832636708944376,0.5398127900186085,False,0.8297172339655181
EEG,PRA,oksipital,beta_periodic_db,23,15,0.28787080540628496,0.1535259093750243,0.20150516620611755,0.5425370585017559,False,0.8297172339655181
EEG,TURUN,frontal,mu_periodic_db,23,15,0.9217428237762771,1.1706147793334845,-0.1934776104184166,0.5490029074548952,False,0.8297172339655181
EEG,NAIK,frontal,mu_periodic_db,23,15,1.3700975035136127,1.069046242497145,0.18562328664307504,0.553407614753953,False,0.8297172339655181
EEG,POST,temporo-posterior,mu_periodic_db,23,15,1.1159477884453806,0.7899287874307696,0.19788237770148306,0.5576156819136393,False,0.8297172339655181
EEG,PRA,frontotemporal,beta_periodic_db,23,15,0.26602044258102614,0.17049151486786124,0.1952018947573028,0.5610726483935935,True,0.8297172339655181
EEG,TURUN,frontotemporal,beta_periodic_db,23,15,0.32439559384715827,0.22197990748851237,0.19260609986109423,0.5631217806588442,True,0.8297172339655181
EEG,PRA,sentral,offset_change,23,15,8.501401756232012,9.788623068298724,-0.19415750384025418,0.5651107069240668,False,0.8297172339655181
EEG,PRA,temporo-posterior,beta_periodic_db,23,15,0.27055134740411174,0.12566613685181852,0.19836170016997584,0.5664415731879979,False,0.8297172339655181
EEG,TAHAN,temporo-posterior,offset_change,23,15,5.7478814420144815,6.886690566398652,-0.18355449241083172,0.57435317975598,False,0.835422806917789
EEG,PRA,temporo-posterior,offset_change,23,15,8.419984263005858,9.511433380855287,-0.1686190028525168,0.6030735242305659,False,0.853885362823439
EEG,TURUN,frontopolar,mu_periodic_db,23,15,0.9321359753103104,1.165118865329339,-0.1671217542403416,0.6030812343855824,True,0.853885362823439
EEG,POST,frontotemporal,exponent_change,23,15,0.17251232353058074,0.22312690423554413,-0.16988710028822349,0.6032649148666148,True,0.853885362823439
EEG,PRA,frontal,exponent_change,23,15,0.26690940710190697,0.21462566211167108,0.17392325595595956,0.6082553343327528,False,0.853885362823439
